model,nct_id,rows,cols,values
as,NCT01164501,(Intercept),age10,-1.37E-03
as,NCT01164501,(Intercept),male,-3.04E-04
as,NCT01164501,age10,male,-1.72E-05
as,NCT01370005,(Intercept),age10,-9.65E-04
as,NCT01370005,(Intercept),male,-2.65E-04
as,NCT01370005,age10,male,-1.47E-05
as,NCT00479401,(Intercept),age10,-9.39E-04
as,NCT00479401,(Intercept),male,-3.37E-04
as,NCT00479401,age10,male,2.87E-06
as,NCT00466167,(Intercept),age10,-1.21E-03
as,NCT00466167,(Intercept),male,-6.78E-04
as,NCT00466167,age10,male,3.99E-05
as,NCT00402233,(Intercept),age10,-6.25E-04
as,NCT00402233,(Intercept),male,-2.06E-04
as,NCT00402233,age10,male,-1.85E-05
as,NCT02183064,(Intercept),age10,0.00E+00
as,NCT02183064,(Intercept),male,0.00E+00
as,NCT02183064,age10,male,0.00E+00
as,NCT00472199,(Intercept),age10,-1.46E-03
as,NCT00472199,(Intercept),male,-8.20E-04
as,NCT00472199,age10,male,1.96E-05
as,NCT02175355,(Intercept),age10,-5.47E-04
as,NCT02175355,(Intercept),male,-2.77E-04
as,NCT02175355,age10,male,1.47E-05
as,NCT02177396,(Intercept),age10,-1.26E-03
as,NCT02177396,(Intercept),male,-7.57E-04
as,NCT02177396,age10,male,2.10E-05
as,NCT00274612,(Intercept),age10,-6.48E-04
as,NCT00274612,(Intercept),male,-4.22E-04
as,NCT00274612,age10,male,1.82E-05
as,NCT00274599,(Intercept),age10,-5.62E-04
as,NCT00274599,(Intercept),male,-4.23E-04
as,NCT00274599,age10,male,1.78E-05
as,NCT00153088,(Intercept),age10,-1.26E-03
as,NCT00153088,(Intercept),male,-5.60E-04
as,NCT00153088,age10,male,1.90E-05
as,NCT00926289,(Intercept),age10,-5.14E-04
as,NCT00926289,(Intercept),male,-4.19E-04
as,NCT00926289,age10,male,3.06E-05
as,NCT02242318,(Intercept),age10,-1.25E-03
as,NCT02242318,(Intercept),male,-7.28E-04
as,NCT02242318,age10,male,2.98E-05
as,NCT00153023,(Intercept),age10,-1.19E-03
as,NCT00153023,(Intercept),male,-4.78E-04
as,NCT00153023,age10,male,6.21E-06
as,NCT00034840,(Intercept),age10,-1.55E-03
as,NCT00034840,(Intercept),male,-1.01E-03
as,NCT00034840,age10,male,3.08E-05
as,NCT00168857,(Intercept),age10,-1.02E-03
as,NCT00168857,(Intercept),male,-3.60E-04
as,NCT00168857,age10,male,-1.38E-05
as,NCT01719003,(Intercept),age10,-3.93E-04
as,NCT01719003,(Intercept),male,-1.69E-04
as,NCT01719003,age10,male,-8.03E-06
as,NCT01335464,(Intercept),age10,0.00E+00
as,NCT01335464,(Intercept),male,0.00E+00
as,NCT01335464,age10,male,0.00E+00
as,NCT01335477,(Intercept),age10,-7.30E-05
as,NCT01335477,(Intercept),male,-2.61E-05
as,NCT01335477,age10,male,-5.51E-07
as,NCT02177344,(Intercept),age10,-1.44E-03
as,NCT02177344,(Intercept),male,-3.48E-04
as,NCT02177344,age10,male,-2.76E-05
as,NCT00856284,(Intercept),age10,-2.19E-04
as,NCT00856284,(Intercept),male,-8.55E-05
as,NCT00856284,age10,male,2.33E-07
as,NCT00968708,(Intercept),age10,-1.77E-04
as,NCT00968708,(Intercept),male,-1.39E-04
as,NCT00968708,age10,male,9.10E-06
as,NCT00670501,(Intercept),age10,-1.21E-03
as,NCT00051558,(Intercept),age10,-9.81E-04
as,NCT00051558,(Intercept),male,-3.23E-04
as,NCT00051558,age10,male,-1.82E-05
as,NCT00670319,(Intercept),age10,-1.95E-04
as,NCT00125918,(Intercept),age10,-8.05E-05
as,NCT00125918,(Intercept),male,-9.61E-05
as,NCT00125918,age10,male,-5.40E-06
as,NCT00861757,(Intercept),age10,-4.05E-04
as,NCT00384930,(Intercept),age10,-5.00E-05
as,NCT00827242,(Intercept),age10,-1.02E-03
as,NCT00855582,(Intercept),age10,-1.82E-03
as,NCT00848081,(Intercept),age10,-1.74E-03
as,NCT00970632,(Intercept),age10,-1.13E-03
as,NCT00734474,(Intercept),age10,-1.65E-04
as,NCT00734474,(Intercept),male,-5.52E-05
as,NCT00734474,age10,male,-2.24E-08
as,NCT01064687,(Intercept),age10,-6.30E-04
as,NCT01064687,(Intercept),male,-1.96E-04
as,NCT01064687,age10,male,-1.10E-05
as,NCT01075282,(Intercept),age10,-4.89E-04
as,NCT01075282,(Intercept),male,-1.15E-04
as,NCT01075282,age10,male,-8.48E-06
as,NCT01126580,(Intercept),age10,-5.55E-04
as,NCT01126580,(Intercept),male,-1.29E-04
as,NCT01126580,age10,male,-1.25E-05
as,NCT01769378,(Intercept),age10,-5.04E-04
as,NCT01769378,(Intercept),male,-1.86E-04
as,NCT01769378,age10,male,6.39E-06
cc,NCT01164501,(Intercept),como_ct,-9.95E-05
cc,NCT00479401,(Intercept),como_ct,-1.19E-04
cc,NCT00466167,(Intercept),como_ct,-1.75E-04
cc,NCT00402233,(Intercept),como_ct,-9.34E-05
cc,NCT02183064,(Intercept),como_ct,-1.10E-06
cc,NCT00472199,(Intercept),como_ct,-3.99E-04
cc,NCT02175355,(Intercept),como_ct,-8.73E-05
cc,NCT02177396,(Intercept),como_ct,-1.60E-04
cc,NCT00274612,(Intercept),como_ct,-1.43E-04
cc,NCT00274599,(Intercept),como_ct,-1.43E-04
cc,NCT00153088,(Intercept),como_ct,-1.54E-04
cc,NCT00926289,(Intercept),como_ct,-7.67E-05
cc,NCT02242318,(Intercept),como_ct,-2.56E-04
cc,NCT00153023,(Intercept),como_ct,-2.19E-04
cc,NCT00034840,(Intercept),como_ct,-2.73E-04
cc,NCT00168857,(Intercept),como_ct,-1.13E-04
cc,NCT01719003,(Intercept),como_ct,-6.40E-05
cc,NCT02177344,(Intercept),como_ct,-1.90E-04
cc,NCT00856284,(Intercept),como_ct,-2.06E-05
cc,NCT00968708,(Intercept),como_ct,-1.28E-05
cc,NCT00670501,(Intercept),como_ct,-1.38E-04
cc,NCT00051558,(Intercept),como_ct,-7.49E-05
cc,NCT00125918,(Intercept),como_ct,-1.18E-04
cc,NCT00861757,(Intercept),como_ct,-3.53E-05
cc,NCT00384930,(Intercept),como_ct,-5.36E-06
cc,NCT00827242,(Intercept),como_ct,-1.17E-04
cc,NCT00855582,(Intercept),como_ct,-1.66E-04
cc,NCT00848081,(Intercept),como_ct,-2.86E-04
cc,NCT00970632,(Intercept),como_ct,-1.05E-04
cc,NCT00734474,(Intercept),como_ct,-2.88E-05
cc,NCT01064687,(Intercept),como_ct,-1.06E-04
cc,NCT01075282,(Intercept),como_ct,-8.39E-05
cc,NCT01126580,(Intercept),como_ct,-9.11E-05
cc,NCT01769378,(Intercept),como_ct,-9.26E-05
eth,NCT01164501,(Intercept),asian,-2.69E-04
eth,NCT01164501,(Intercept),black,-2.69E-04
eth,NCT01164501,asian,black,2.69E-04
eth,NCT01164501,(Intercept),nativ,-2.69E-04
eth,NCT01164501,asian,nativ,2.69E-04
eth,NCT01164501,black,nativ,2.69E-04
eth,NCT01164501,(Intercept),other,-2.69E-04
eth,NCT01164501,asian,other,2.69E-04
eth,NCT01164501,black,other,2.69E-04
eth,NCT01164501,nativ,other,2.69E-04
eth,NCT01370005,(Intercept),asian,-1.43E-04
eth,NCT01370005,(Intercept),black,-1.43E-04
eth,NCT01370005,asian,black,1.43E-04
eth,NCT01370005,(Intercept),nativ,-1.43E-04
eth,NCT01370005,asian,nativ,1.43E-04
eth,NCT01370005,black,nativ,1.43E-04
eth,NCT01370005,(Intercept),other,-1.43E-04
eth,NCT01370005,asian,other,1.43E-04
eth,NCT01370005,black,other,1.43E-04
eth,NCT01370005,nativ,other,1.43E-04
eth,NCT00479401,(Intercept),asian,-2.42E-04
eth,NCT00466167,(Intercept),asian,-4.46E-04
eth,NCT02183064,(Intercept),black,-1.19E-06
eth,NCT02183064,(Intercept),other,-1.19E-06
eth,NCT02183064,black,other,1.19E-06
eth,NCT02175355,(Intercept),black,-1.04E-04
eth,NCT02175355,(Intercept),other,-1.04E-04
eth,NCT02175355,black,other,1.04E-04
eth,NCT02177396,(Intercept),black,-3.49E-04
eth,NCT02177396,(Intercept),other,-3.49E-04
eth,NCT02177396,black,other,3.49E-04
eth,NCT00274599,(Intercept),black,-1.52E-04
eth,NCT00274599,(Intercept),other,-1.52E-04
eth,NCT00274599,black,other,1.52E-04
eth,NCT00926289,(Intercept),asian,-1.65E-04
eth,NCT00926289,(Intercept),black,-1.65E-04
eth,NCT00926289,asian,black,1.65E-04
eth,NCT00926289,(Intercept),other,-1.65E-04
eth,NCT00926289,asian,other,1.65E-04
eth,NCT00926289,black,other,1.65E-04
eth,NCT02242318,(Intercept),black,-2.99E-04
eth,NCT02242318,(Intercept),other,-2.99E-04
eth,NCT02242318,black,other,2.99E-04
eth,NCT00153023,(Intercept),black,-1.99E-04
eth,NCT00153023,(Intercept),other,-1.99E-04
eth,NCT00153023,black,other,1.99E-04
eth,NCT00034840,(Intercept),black,-3.25E-04
eth,NCT00034840,(Intercept),other,-3.25E-04
eth,NCT00034840,black,other,3.25E-04
eth,NCT00168857,(Intercept),black,-3.56E-04
eth,NCT00168857,(Intercept),other,-3.56E-04
eth,NCT00168857,black,other,3.56E-04
eth,NCT01719003,(Intercept),asian,-1.16E-04
eth,NCT01719003,(Intercept),black,-1.16E-04
eth,NCT01719003,asian,black,1.16E-04
eth,NCT01719003,(Intercept),nativ,-1.16E-04
eth,NCT01719003,asian,nativ,1.16E-04
eth,NCT01719003,black,nativ,1.16E-04
eth,NCT01719003,(Intercept),other,-1.16E-04
eth,NCT01719003,asian,other,1.16E-04
eth,NCT01719003,black,other,1.16E-04
eth,NCT01719003,nativ,other,1.16E-04
eth,NCT01335464,(Intercept),asian,-4.77E-06
eth,NCT01335477,(Intercept),asian,-1.10E-05
eth,NCT01335477,(Intercept),black,-1.10E-05
eth,NCT01335477,asian,black,1.10E-05
eth,NCT02177344,(Intercept),black,-2.28E-04
eth,NCT02177344,(Intercept),other,-2.28E-04
eth,NCT02177344,black,other,2.28E-04
eth,NCT00670501,(Intercept),other,-9.11E-05
eth,NCT00051558,(Intercept),asian,-4.64E-04
eth,NCT00051558,(Intercept),black,-4.64E-04
eth,NCT00051558,asian,black,4.64E-04
eth,NCT00051558,(Intercept),other,-4.64E-04
eth,NCT00051558,asian,other,4.64E-04
eth,NCT00051558,black,other,4.64E-04
eth,NCT00670319,(Intercept),asian,-1.59E-05
eth,NCT00670319,(Intercept),black,-1.59E-05
eth,NCT00670319,asian,black,1.59E-05
eth,NCT00670319,(Intercept),other,-1.59E-05
eth,NCT00670319,asian,other,1.59E-05
eth,NCT00670319,black,other,1.59E-05
eth,NCT00125918,(Intercept),asian,-3.07E-04
eth,NCT00125918,(Intercept),black,-3.07E-04
eth,NCT00125918,asian,black,3.07E-04
eth,NCT00125918,(Intercept),nativ,-3.07E-04
eth,NCT00125918,asian,nativ,3.07E-04
eth,NCT00125918,black,nativ,3.07E-04
eth,NCT00125918,(Intercept),other,-3.07E-04
eth,NCT00125918,asian,other,3.07E-04
eth,NCT00125918,black,other,3.07E-04
eth,NCT00125918,nativ,other,3.07E-04
eth,NCT00384930,(Intercept),asian,-6.00E-06
eth,NCT00384930,(Intercept),black,-6.00E-06
eth,NCT00384930,asian,black,6.00E-06
eth,NCT00384930,(Intercept),other,-6.00E-06
eth,NCT00384930,asian,other,6.00E-06
eth,NCT00384930,black,other,6.00E-06
eth,NCT00827242,(Intercept),asian,-1.46E-04
eth,NCT00827242,(Intercept),black,-1.46E-04
eth,NCT00827242,asian,black,1.46E-04
eth,NCT00827242,(Intercept),nativ,-1.46E-04
eth,NCT00827242,asian,nativ,1.46E-04
eth,NCT00827242,black,nativ,1.46E-04
eth,NCT00827242,(Intercept),other,-1.46E-04
eth,NCT00827242,asian,other,1.46E-04
eth,NCT00827242,black,other,1.46E-04
eth,NCT00827242,nativ,other,1.46E-04
eth,NCT00855582,(Intercept),asian,-2.14E-04
eth,NCT00855582,(Intercept),black,-2.14E-04
eth,NCT00855582,asian,black,2.14E-04
eth,NCT00855582,(Intercept),nativ,-2.14E-04
eth,NCT00855582,asian,nativ,2.14E-04
eth,NCT00855582,black,nativ,2.14E-04
eth,NCT00855582,(Intercept),other,-2.14E-04
eth,NCT00855582,asian,other,2.14E-04
eth,NCT00855582,black,other,2.14E-04
eth,NCT00855582,nativ,other,2.14E-04
eth,NCT00848081,(Intercept),asian,-2.46E-04
eth,NCT00848081,(Intercept),black,-2.46E-04
eth,NCT00848081,asian,black,2.46E-04
eth,NCT00848081,(Intercept),nativ,-2.46E-04
eth,NCT00848081,asian,nativ,2.46E-04
eth,NCT00848081,black,nativ,2.46E-04
eth,NCT00848081,(Intercept),other,-2.46E-04
eth,NCT00848081,asian,other,2.46E-04
eth,NCT00848081,black,other,2.46E-04
eth,NCT00848081,nativ,other,2.46E-04
eth,NCT00970632,(Intercept),black,-1.54E-04
eth,NCT00970632,(Intercept),nativ,-1.54E-04
eth,NCT00970632,black,nativ,1.54E-04
eth,NCT00734474,(Intercept),asian,-5.78E-05
eth,NCT00734474,(Intercept),black,-5.78E-05
eth,NCT00734474,asian,black,5.78E-05
eth,NCT00734474,(Intercept),nativ,-5.78E-05
eth,NCT00734474,asian,nativ,5.78E-05
eth,NCT00734474,black,nativ,5.78E-05
eth,NCT00734474,(Intercept),other,-5.78E-05
eth,NCT00734474,asian,other,5.78E-05
eth,NCT00734474,black,other,5.78E-05
eth,NCT00734474,nativ,other,5.78E-05
eth,NCT01064687,(Intercept),asian,-1.52E-04
eth,NCT01064687,(Intercept),black,-1.52E-04
eth,NCT01064687,asian,black,1.52E-04
eth,NCT01064687,(Intercept),nativ,-1.52E-04
eth,NCT01064687,asian,nativ,1.52E-04
eth,NCT01064687,black,nativ,1.52E-04
eth,NCT01064687,(Intercept),other,-1.52E-04
eth,NCT01064687,asian,other,1.52E-04
eth,NCT01064687,black,other,1.52E-04
eth,NCT01064687,nativ,other,1.52E-04
eth,NCT01075282,(Intercept),asian,-1.15E-04
eth,NCT01075282,(Intercept),black,-1.15E-04
eth,NCT01075282,asian,black,1.15E-04
eth,NCT01075282,(Intercept),nativ,-1.15E-04
eth,NCT01075282,asian,nativ,1.15E-04
eth,NCT01075282,black,nativ,1.15E-04
eth,NCT01075282,(Intercept),other,-1.15E-04
eth,NCT01075282,asian,other,1.15E-04
eth,NCT01075282,black,other,1.15E-04
eth,NCT01075282,nativ,other,1.15E-04
eth,NCT01126580,(Intercept),asian,-1.47E-04
eth,NCT01126580,(Intercept),black,-1.47E-04
eth,NCT01126580,asian,black,1.47E-04
eth,NCT01126580,(Intercept),nativ,-1.47E-04
eth,NCT01126580,asian,nativ,1.47E-04
eth,NCT01126580,black,nativ,1.47E-04
eth,NCT01126580,(Intercept),other,-1.47E-04
eth,NCT01126580,asian,other,1.47E-04
eth,NCT01126580,black,other,1.47E-04
eth,NCT01126580,nativ,other,1.47E-04
eth,NCT01769378,(Intercept),asian,-9.98E-05
eth,NCT01769378,(Intercept),black,-9.98E-05
eth,NCT01769378,asian,black,9.98E-05
eth,NCT01769378,(Intercept),nativ,-9.98E-05
eth,NCT01769378,asian,nativ,9.98E-05
eth,NCT01769378,black,nativ,9.98E-05
eth,NCT01769378,(Intercept),other,-9.98E-05
eth,NCT01769378,asian,other,9.98E-05
eth,NCT01769378,black,other,9.98E-05
eth,NCT01769378,nativ,other,9.98E-05
asc,NCT01164501,(Intercept),age10,-1.22E-03
asc,NCT01164501,(Intercept),male,-2.78E-04
asc,NCT01164501,age10,male,-1.64E-05
asc,NCT01164501,(Intercept),como_ct,-5.66E-05
asc,NCT01164501,age10,como_ct,-8.46E-06
asc,NCT01164501,male,como_ct,2.21E-05
asc,NCT01370005,(Intercept),age10,-9.65E-04
asc,NCT01370005,(Intercept),male,-2.65E-04
asc,NCT01370005,age10,male,-1.47E-05
asc,NCT00479401,(Intercept),age10,-9.55E-04
asc,NCT00479401,(Intercept),male,-3.36E-04
asc,NCT00479401,age10,male,2.30E-06
asc,NCT00479401,(Intercept),como_ct,5.79E-05
asc,NCT00479401,age10,como_ct,-2.86E-05
asc,NCT00479401,male,como_ct,1.94E-06
asc,NCT00466167,(Intercept),age10,-1.26E-03
asc,NCT00466167,(Intercept),male,-6.35E-04
asc,NCT00466167,age10,male,2.35E-05
asc,NCT00466167,(Intercept),como_ct,1.62E-04
asc,NCT00466167,age10,como_ct,-5.98E-05
asc,NCT00466167,male,como_ct,5.44E-05
asc,NCT00402233,(Intercept),age10,-5.66E-04
asc,NCT00402233,(Intercept),male,-1.97E-04
asc,NCT00402233,age10,male,-1.78E-05
asc,NCT00402233,(Intercept),como_ct,-5.59E-05
asc,NCT00402233,age10,como_ct,-5.97E-06
asc,NCT00402233,male,como_ct,5.73E-06
asc,NCT02183064,(Intercept),age10,0.00E+00
asc,NCT02183064,(Intercept),male,0.00E+00
asc,NCT02183064,age10,male,0.00E+00
asc,NCT02183064,(Intercept),como_ct,0.00E+00
asc,NCT02183064,age10,como_ct,0.00E+00
asc,NCT02183064,male,como_ct,0.00E+00
asc,NCT00472199,(Intercept),age10,-1.47E-03
asc,NCT00472199,(Intercept),male,-8.06E-04
asc,NCT00472199,age10,male,9.59E-06
asc,NCT00472199,(Intercept),como_ct,7.18E-05
asc,NCT00472199,age10,como_ct,-9.23E-05
asc,NCT00472199,male,como_ct,3.55E-05
asc,NCT02175355,(Intercept),age10,-5.55E-04
asc,NCT02175355,(Intercept),male,-2.73E-04
asc,NCT02175355,age10,male,1.32E-05
asc,NCT02175355,(Intercept),como_ct,5.50E-05
asc,NCT02175355,age10,como_ct,-2.39E-05
asc,NCT02175355,male,como_ct,1.03E-05
asc,NCT02177396,(Intercept),age10,-9.55E-04
asc,NCT02177396,(Intercept),male,-5.71E-04
asc,NCT02177396,age10,male,1.59E-05
asc,NCT02177396,(Intercept),como_ct,-1.41E-04
asc,NCT02177396,age10,como_ct,-9.48E-07
asc,NCT02177396,male,como_ct,-4.47E-06
asc,NCT00274612,(Intercept),age10,-6.37E-04
asc,NCT00274612,(Intercept),male,-4.23E-04
asc,NCT00274612,age10,male,1.57E-05
asc,NCT00274612,(Intercept),como_ct,-3.97E-05
asc,NCT00274612,age10,como_ct,-2.01E-05
asc,NCT00274612,male,como_ct,2.40E-05
asc,NCT00274599,(Intercept),age10,-5.53E-04
asc,NCT00274599,(Intercept),male,-4.42E-04
asc,NCT00274599,age10,male,1.54E-05
asc,NCT00274599,(Intercept),como_ct,-9.88E-05
asc,NCT00274599,age10,como_ct,-1.18E-05
asc,NCT00274599,male,como_ct,3.32E-05
asc,NCT00153088,(Intercept),age10,-1.26E-03
asc,NCT00153088,(Intercept),male,-5.66E-04
asc,NCT00153088,age10,male,1.14E-05
asc,NCT00153088,(Intercept),como_ct,-2.34E-05
asc,NCT00153088,age10,como_ct,-2.66E-05
asc,NCT00153088,male,como_ct,3.93E-05
asc,NCT00926289,(Intercept),age10,-5.19E-04
asc,NCT00926289,(Intercept),male,-4.20E-04
asc,NCT00926289,age10,male,3.11E-05
asc,NCT00926289,(Intercept),como_ct,4.17E-05
asc,NCT00926289,age10,como_ct,-2.07E-05
asc,NCT00926289,male,como_ct,-4.65E-06
asc,NCT02242318,(Intercept),age10,-1.25E-03
asc,NCT02242318,(Intercept),male,-7.36E-04
asc,NCT02242318,age10,male,2.83E-05
asc,NCT02242318,(Intercept),como_ct,-1.26E-04
asc,NCT02242318,age10,como_ct,-2.37E-05
asc,NCT02242318,male,como_ct,2.77E-05
asc,NCT00153023,(Intercept),age10,-9.11E-04
asc,NCT00153023,(Intercept),male,-3.66E-04
asc,NCT00153023,age10,male,6.19E-06
asc,NCT00153023,(Intercept),como_ct,-1.11E-04
asc,NCT00153023,age10,como_ct,-1.68E-05
asc,NCT00153023,male,como_ct,-6.92E-06
asc,NCT00034840,(Intercept),age10,-1.54E-03
asc,NCT00034840,(Intercept),male,-1.04E-03
asc,NCT00034840,age10,male,2.36E-05
asc,NCT00034840,(Intercept),como_ct,-1.43E-04
asc,NCT00034840,age10,como_ct,-3.22E-05
asc,NCT00034840,male,como_ct,7.79E-05
asc,NCT00168857,(Intercept),age10,-7.01E-04
asc,NCT00168857,(Intercept),male,-2.37E-04
asc,NCT00168857,age10,male,-8.92E-06
asc,NCT00168857,(Intercept),como_ct,-8.39E-05
asc,NCT00168857,age10,como_ct,-4.22E-06
asc,NCT00168857,male,como_ct,-7.06E-06
asc,NCT01719003,(Intercept),age10,-3.53E-04
asc,NCT01719003,(Intercept),male,-1.52E-04
asc,NCT01719003,age10,male,-7.22E-06
asc,NCT01719003,(Intercept),como_ct,-5.80E-05
asc,NCT01719003,age10,como_ct,-8.83E-07
asc,NCT01719003,male,como_ct,-4.63E-07
asc,NCT01335464,(Intercept),age10,0.00E+00
asc,NCT01335464,(Intercept),male,0.00E+00
asc,NCT01335464,age10,male,0.00E+00
asc,NCT01335477,(Intercept),age10,-7.30E-05
asc,NCT01335477,(Intercept),male,-2.61E-05
asc,NCT01335477,age10,male,-5.51E-07
asc,NCT02177344,(Intercept),age10,-1.42E-03
asc,NCT02177344,(Intercept),male,-3.88E-04
asc,NCT02177344,age10,male,-4.34E-05
asc,NCT02177344,(Intercept),como_ct,-7.28E-05
asc,NCT02177344,age10,como_ct,-2.74E-05
asc,NCT02177344,male,como_ct,8.20E-05
asc,NCT00856284,(Intercept),age10,-1.72E-04
asc,NCT00856284,(Intercept),male,-6.74E-05
asc,NCT00856284,age10,male,1.09E-07
asc,NCT00856284,(Intercept),como_ct,-4.88E-06
asc,NCT00856284,age10,como_ct,-3.03E-06
asc,NCT00856284,male,como_ct,1.72E-06
asc,NCT00968708,(Intercept),age10,-1.10E-04
asc,NCT00968708,(Intercept),male,-8.59E-05
asc,NCT00968708,age10,male,5.72E-06
asc,NCT00968708,(Intercept),como_ct,-1.00E-05
asc,NCT00968708,age10,como_ct,-3.60E-07
asc,NCT00968708,male,como_ct,-8.84E-07
asc,NCT00670501,(Intercept),age10,-1.18E-03
asc,NCT00670501,(Intercept),como_ct,-3.39E-05
asc,NCT00670501,age10,como_ct,-1.53E-05
asc,NCT00051558,(Intercept),age10,-3.68E-04
asc,NCT00051558,(Intercept),male,-1.15E-04
asc,NCT00051558,age10,male,-6.48E-06
asc,NCT00051558,(Intercept),como_ct,-5.52E-05
asc,NCT00051558,age10,como_ct,-3.11E-06
asc,NCT00051558,male,como_ct,-5.92E-06
asc,NCT00670319,(Intercept),age10,-1.95E-04
asc,NCT00125918,(Intercept),age10,-7.51E-05
asc,NCT00125918,(Intercept),male,-1.03E-04
asc,NCT00125918,age10,male,-1.23E-05
asc,NCT00125918,(Intercept),como_ct,-1.42E-05
asc,NCT00125918,age10,como_ct,-1.22E-05
asc,NCT00125918,male,como_ct,2.04E-05
asc,NCT00861757,(Intercept),age10,-4.15E-04
asc,NCT00861757,(Intercept),como_ct,3.40E-05
asc,NCT00861757,age10,como_ct,-1.12E-05
asc,NCT00384930,(Intercept),age10,-5.01E-05
asc,NCT00384930,(Intercept),como_ct,-1.01E-07
asc,NCT00384930,age10,como_ct,-8.64E-07
asc,NCT00827242,(Intercept),age10,-1.02E-03
asc,NCT00827242,(Intercept),como_ct,-2.18E-04
asc,NCT00827242,age10,como_ct,1.56E-05
asc,NCT00855582,(Intercept),age10,-1.83E-03
asc,NCT00855582,(Intercept),como_ct,4.59E-05
asc,NCT00855582,age10,como_ct,-3.45E-05
asc,NCT00848081,(Intercept),age10,-1.72E-03
asc,NCT00848081,(Intercept),como_ct,-1.05E-04
asc,NCT00848081,age10,como_ct,-2.78E-05
asc,NCT00970632,(Intercept),age10,-1.14E-03
asc,NCT00970632,(Intercept),como_ct,4.32E-05
asc,NCT00970632,age10,como_ct,-2.37E-05
asc,NCT00734474,(Intercept),age10,-1.64E-04
asc,NCT00734474,(Intercept),male,-5.58E-05
asc,NCT00734474,age10,male,-6.01E-07
asc,NCT00734474,(Intercept),como_ct,-5.88E-06
asc,NCT00734474,age10,como_ct,-4.64E-06
asc,NCT00734474,male,como_ct,2.65E-06
asc,NCT01064687,(Intercept),age10,-5.79E-04
asc,NCT01064687,(Intercept),male,-1.84E-04
asc,NCT01064687,age10,male,-1.08E-05
asc,NCT01064687,(Intercept),como_ct,-3.18E-05
asc,NCT01064687,age10,como_ct,-1.40E-05
asc,NCT01064687,male,como_ct,2.79E-06
asc,NCT01075282,(Intercept),age10,-4.83E-04
asc,NCT01075282,(Intercept),male,-1.10E-04
asc,NCT01075282,age10,male,-1.31E-05
asc,NCT01075282,(Intercept),como_ct,1.32E-05
asc,NCT01075282,age10,como_ct,-1.99E-05
asc,NCT01075282,male,como_ct,1.67E-05
asc,NCT01126580,(Intercept),age10,-5.14E-04
asc,NCT01126580,(Intercept),male,-1.21E-04
asc,NCT01126580,age10,male,-1.88E-05
asc,NCT01126580,(Intercept),como_ct,-1.93E-06
asc,NCT01126580,age10,como_ct,-1.93E-05
asc,NCT01126580,male,como_ct,2.81E-05
asc,NCT01769378,(Intercept),age10,-5.44E-04
asc,NCT01769378,(Intercept),male,-1.67E-04
asc,NCT01769378,age10,male,-3.65E-07
asc,NCT01769378,(Intercept),como_ct,1.07E-04
asc,NCT01769378,age10,como_ct,-3.91E-05
asc,NCT01769378,male,como_ct,1.73E-05
asce,NCT01164501,(Intercept),age10,-1.25E-03
asce,NCT01164501,(Intercept),male,-2.91E-04
asce,NCT01164501,age10,male,-1.24E-05
asce,NCT01164501,(Intercept),como_ct,-4.95E-05
asce,NCT01164501,age10,como_ct,-8.55E-06
asce,NCT01164501,male,como_ct,1.95E-05
asce,NCT01164501,(Intercept),asian,-8.20E-04
asce,NCT01164501,age10,asian,9.02E-05
asce,NCT01164501,male,asian,1.31E-05
asce,NCT01164501,como_ct,asian,6.49E-06
asce,NCT01164501,(Intercept),black,-9.37E-04
asce,NCT01164501,age10,black,1.06E-04
asce,NCT01164501,male,black,1.07E-04
asce,NCT01164501,como_ct,black,-6.54E-05
asce,NCT01164501,asian,black,2.78E-04
asce,NCT01164501,(Intercept),nativ,-3.97E-05
asce,NCT01164501,age10,nativ,-1.38E-05
asce,NCT01164501,male,nativ,-2.61E-04
asce,NCT01164501,como_ct,nativ,8.56E-05
asce,NCT01164501,asian,nativ,2.21E-04
asce,NCT01164501,black,nativ,1.40E-04
asce,NCT01164501,(Intercept),other,-6.13E-04
asce,NCT01164501,age10,other,7.59E-05
asce,NCT01164501,male,other,-4.05E-05
asce,NCT01164501,como_ct,other,-1.47E-04
asce,NCT01164501,asian,other,2.55E-04
asce,NCT01164501,black,other,3.18E-04
asce,NCT01164501,nativ,other,1.60E-04
asce,NCT01370005,(Intercept),age10,-1.01E-03
asce,NCT01370005,(Intercept),male,-2.85E-04
asce,NCT01370005,age10,male,-1.21E-05
asce,NCT01370005,(Intercept),asian,-3.01E-04
asce,NCT01370005,age10,asian,2.71E-05
asce,NCT01370005,male,asian,-1.19E-05
asce,NCT01370005,(Intercept),black,-1.02E-03
asce,NCT01370005,age10,black,1.35E-04
asce,NCT01370005,male,black,7.73E-05
asce,NCT01370005,asian,black,1.63E-04
asce,NCT01370005,(Intercept),nativ,-1.18E-03
asce,NCT01370005,age10,nativ,1.93E-04
asce,NCT01370005,male,nativ,-2.29E-04
asce,NCT01370005,asian,nativ,1.77E-04
asce,NCT01370005,black,nativ,2.67E-04
asce,NCT01370005,(Intercept),other,-6.22E-04
asce,NCT01370005,age10,other,7.14E-05
asce,NCT01370005,male,other,6.68E-05
asce,NCT01370005,asian,other,1.52E-04
asce,NCT01370005,black,other,2.11E-04
asce,NCT01370005,nativ,other,1.98E-04
asce,NCT00479401,(Intercept),age10,-9.82E-04
asce,NCT00479401,(Intercept),male,-3.57E-04
